sggNm,전세_평균보증금,전세_평균전용면적,전세_거래건수,월세_평균보증금,월세_평균월세액,월세_평균전용면적,월세_거래건수,전체_거래건수,월세비중(%)
김천시,9766.666666666666,32.49666666666666,3.0,971.4285714285714,37.285714285714285,28.114285714285717,7.0,10.0,70.0
김포시,15400.0,32.504999999999995,2.0,512.5,47.875,25.79375,8.0,10.0,80.0
김해시,12500.0,68.23,3.0,1500.0,33.42857142857143,36.35142857142857,7.0,10.0,70.0
나주시,7000.0,28.42,1.0,622.2222222222222,39.111111111111114,28.511111111111113,9.0,10.0,90.0
남구,15455.555555555555,55.30111111111111,9.0,667.741935483871,43.83870967741935,29.531935483870967,31.0,40.0,77.5
남동구,13275.0,50.4375,4.0,1133.3333333333333,56.833333333333336,28.338333333333335,6.0,10.0,60.0
남양주시,28700.0,53.04,5.0,1700.0,65.2,29.188,5.0,10.0,50.0
노원구,0.0,0.0,0.0,850.0,65.9,31.970999999999997,10.0,10.0,100.0
논산시,7000.0,26.12,1.0,1111.111111111111,46.111111111111114,28.116666666666667,9.0,10.0,90.0
달서구,12500.0,65.64500000000001,2.0,3350.0,59.125,55.2175,8.0,10.0,80.0
달성군,18000.0,84.81,1.0,2455.5555555555557,44.22222222222222,35.61,9.0,10.0,90.0
당진시,9000.0,62.790000000000006,2.0,937.5,56.375,44.3875,8.0,10.0,80.0
대덕구,0.0,0.0,0.0,600.0,42.0,35.223333333333336,3.0,3.0,100.0
도봉구,15740.0,23.964,5.0,3600.0,60.4,29.483999999999998,5.0,10.0,50.0
동구,13425.333333333334,44.32533333333333,15.0,2332.6,48.25714285714286,37.41028571428571,35.0,50.0,70.0
동대문구,28250.0,37.849999999999994,4.0,15174.833333333334,44.5,34.571666666666665,6.0,10.0,60.0
동두천시,9333.333333333334,67.29333333333334,3.0,928.5714285714286,46.714285714285715,44.63428571428572,7.0,10.0,70.0
동래구,19250.0,52.8925,4.0,1633.3333333333333,46.666666666666664,28.426666666666666,6.0,10.0,60.0
동작구,18600.0,28.14,2.0,7875.0,45.375,22.75125,8.0,10.0,80.0
마포구,0.0,0.0,0.0,4370.0,56.2,21.46,10.0,10.0,100.0
목포시,4000.0,41.43,1.0,268.8888888888889,30.77777777777778,29.75,9.0,10.0,90.0
무안군,11431.25,59.1875,8.0,400.0,37.5,32.255,2.0,10.0,20.0
문경시,19000.0,84.65,2.0,0.0,0.0,0.0,0.0,2.0,0.0
미추홀구,8000.0,20.74,1.0,866.6666666666666,58.0,38.70444444444445,9.0,10.0,90.0
보령시,0.0,0.0,0.0,500.0,53.333333333333336,43.14666666666667,3.0,3.0,100.0
부산진구,8000.0,21.12,1.0,2222.222222222222,41.111111111111114,27.394444444444446,9.0,10.0,90.0
부천시 소사구,20560.0,46.232,5.0,1140.0,64.2,37.316,5.0,10.0,50.0
부천시 오정구,22771.428571428572,59.41285714285714,7.0,0.0,0.0,0.0,0.0,7.0,0.0
부천시 원미구,13250.0,43.55,2.0,1687.5,45.875,30.265,8.0,10.0,80.0
부평구,15750.0,78.93,1.0,1332.5555555555557,61.55555555555556,47.99888888888889,9.0,10.0,90.0
북구,9877.777777777777,56.38,9.0,2004.1666666666667,45.333333333333336,47.27,24.0,33.0,72.72727272727273
사상구,7300.0,24.22,2.0,1425.0,39.625,21.91375,8.0,10.0,80.0
사천시,5800.0,24.07,1.0,2475.0,35.0,39.19,4.0,5.0,80.0
사하구,18666.666666666668,75.13,3.0,2257.1428571428573,25.714285714285715,23.72142857142857,7.0,10.0,70.0
상주시,19000.0,84.88,1.0,0.0,0.0,0.0,0.0,1.0,0.0
서구,17500.0,48.137142857142855,7.0,1898.1818181818182,48.15151515151515,35.95666666666666,33.0,40.0,82.5
서귀포시,14775.0,57.705,2.0,587.5,58.375,34.54625,8.0,10.0,80.0
서대문구,0.0,0.0,0.0,3345.0,86.7,29.957,10.0,10.0,100.0
서산시,4500.0,18.03,1.0,700.0,52.888888888888886,28.808888888888887,9.0,10.0,90.0
서천군,0.0,0.0,0.0,500.0,40.0,22.5,1.0,1.0,100.0
서초구,24650.0,26.694999999999997,6.0,10400.0,49.75,25.2175,4.0,10.0,40.0
성남시 분당구,22740.0,25.714,5.0,3600.0,90.8,40.169999999999995,5.0,10.0,50.0
성남시 수정구,31185.0,47.277499999999996,4.0,1666.6666666666667,93.83333333333333,29.01,6.0,10.0,60.0
성남시 중원구,15616.666666666666,27.833333333333332,3.0,1618.5714285714287,58.142857142857146,23.18142857142857,7.0,10.0,70.0
성동구,24600.0,18.32,2.0,3331.25,79.375,27.7775,8.0,10.0,80.0
성북구,40000.0,90.75,1.0,2444.4444444444443,75.77777777777777,26.95888888888889,9.0,10.0,90.0
속초시,6666.666666666667,36.82333333333333,3.0,832.8571428571429,64.71428571428571,34.277142857142856,7.0,10.0,70.0
송파구,30525.0,33.76166666666666,6.0,3750.0,137.25,45.5625,4.0,10.0,40.0
수성구,12950.0,51.595,2.0,3162.5,59.0,55.19875,8.0,10.0,80.0
수영구,10000.0,23.32,1.0,3500.0,43.111111111111114,28.989999999999995,9.0,10.0,90.0
수원시 권선구,22000.0,71.27,1.0,1222.2222222222222,60.22222222222222,38.71222222222222,9.0,10.0,90.0
수원시 영통구,35904.28571428572,61.228571428571435,7.0,1000.0,95.0,32.06666666666667,3.0,10.0,30.0
수원시 장안구,31333.333333333332,84.65,6.0,9500.0,76.25,70.7775,4.0,10.0,40.0
수원시 팔달구,15250.0,52.725,2.0,1375.0,51.5,29.80875,8.0,10.0,80.0
순천시,0.0,0.0,0.0,883.3333333333334,29.5,35.32666666666667,6.0,6.0,100.0
시흥시,13766.666666666666,28.72,3.0,842.8571428571429,45.857142857142854,25.865714285714287,7.0,10.0,70.0
