sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,park,total_score,전세_평균보증금,전세_평균면적,전세_거래건수,월세_평균보증금,월세_평균월세,월세_평균면적,월세_거래건수,전체_거래건수
2911000000,광주광역시 동구,27,85,2152,2914,440,771,887,669,7945,11400.0,32.658,5.0,440.0,43.0,29.224,5.0,10.0
2914000000,광주광역시 서구,347,92,2631,3519,4557,803,1102,842,13893,13166.666666666666,37.083333333333336,3.0,757.1428571428571,59.285714285714285,36.81142857142857,7.0,10.0
2915500000,광주광역시 남구,272,85,2133,2877,3384,780,871,101,10503,17250.0,66.475,2.0,437.5,31.75,25.645,8.0,10.0
2917000000,광주광역시 북구,323,85,2467,3331,4080,789,1035,797,12907,15566.666666666666,65.40666666666667,3.0,2742.8571428571427,48.0,60.60857142857143,7.0,10.0
2920000000,광주광역시 광산구,175,56,1141,1659,2148,70,642,577,6468,19300.0,41.03333333333333,3.0,828.5714285714286,58.71428571428572,50.01857142857143,7.0,10.0
3011000000,대전광역시 동구,58,82,1546,2170,392,396,781,472,5897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3014000000,대전광역시 중구,289,110,2255,3146,2896,623,1091,732,11142,0.0,0.0,0.0,2500.0,50.0,62.21,1.0,1.0
3017000000,대전광역시 서구,352,141,2575,3894,3733,630,1310,870,13505,0.0,0.0,0.0,1400.0,43.5,36.106,10.0,10.0
3020000000,대전광역시 유성구,330,123,2422,3675,3606,612,1194,792,12754,0.0,0.0,0.0,1810.0,44.2,33.796,10.0,10.0
3023000000,대전광역시 대덕구,310,115,2403,3502,3169,628,1221,855,12203,0.0,0.0,0.0,600.0,42.0,35.223333333333336,3.0,3.0
3111000000,울산광역시 중구,231,6,1131,1867,2611,577,698,466,7587,10600.0,31.75,2.0,675.0,48.375,26.75625,8.0,10.0
3114000000,울산광역시 남구,204,7,1058,1801,2447,572,669,232,6990,16325.0,55.63,4.0,716.6666666666666,53.833333333333336,33.49,6.0,10.0
3117000000,울산광역시 동구,43,2,275,489,406,251,264,187,1917,16500.0,55.76,2.0,3562.5,55.0,63.7275,8.0,10.0
3120000000,울산광역시 북구,214,3,1041,1709,2295,567,636,408,6873,8500.0,158.0,1.0,350.0,52.5,87.22,2.0,3.0
3171000000,울산광역시 울주군,100,8,212,643,533,15,273,193,1977,7750.0,22.91,2.0,550.0,42.875,34.645,8.0,10.0
3611000000,세종특별자치시,93,0,499,991,1713,20,338,358,4012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4113000000,경기도 성남시,271,177,2621,3039,4044,866,1131,706,12855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4111700000,경기도 수원시 영통구,487,147,3032,4826,6493,653,1825,1235,18698,35904.28571428572,61.22857142857144,7.0,1000.0,95.0,32.06666666666667,3.0,10.0
4111000000,경기도 수원시,576,161,3417,5497,7581,675,2099,1430,21436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4111100000,경기도 수원시 장안구,393,118,2607,4001,5104,332,1453,983,14991,31333.33333333333,84.65,6.0,9500.0,76.25,70.7775,4.0,10.0
4111300000,경기도 수원시 권선구,308,86,2087,3269,3891,235,1325,766,11967,22000.0,71.27,1.0,1222.2222222222222,60.22222222222222,38.71222222222222,9.0,10.0
4111500000,경기도 수원시 팔달구,404,118,2618,4157,5457,333,1551,1063,15701,15250.0,52.725,2.0,1375.0,51.5,29.80875,8.0,10.0
4113100000,경기도 성남시 수정구,309,265,2912,3485,3904,1187,1245,936,14243,31185.0,47.2775,4.0,1666.6666666666667,93.83333333333331,29.01,6.0,10.0
4113300000,경기도 성남시 중원구,279,208,2719,3101,3959,866,1149,786,13067,15616.666666666666,27.83333333333333,3.0,1618.571428571429,58.142857142857146,23.18142857142857,7.0,10.0
4113500000,경기도 성남시 분당구,249,129,2407,2796,4150,959,1013,628,12331,22740.0,25.714,5.0,3600.0,90.8,40.17,5.0,10.0
4115000000,경기도 의정부시,113,74,722,987,1149,161,460,241,3907,21900.0,71.83,1.0,991.1111111111112,57.66666666666666,40.34777777777778,9.0,10.0
4117000000,경기도 안양시,291,115,1842,2599,3277,326,953,876,10279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4117100000,경기도 안양시 만안구,320,102,1991,2749,3585,328,1008,886,10969,16750.0,32.52,4.0,3250.0,54.5,26.85333333333333,6.0,10.0
4117300000,경기도 안양시 동안구,302,120,1892,2646,3365,326,970,881,10502,30040.4,58.848,5.0,3600.0,77.8,46.704,5.0,10.0
4119000000,경기도 부천시,613,330,4113,4838,5723,932,2199,1460,20208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4121000000,경기도 광명시,670,435,5708,6747,8220,1182,2729,1660,27351,16821.428571428572,33.39857142857143,7.0,833.3333333333334,63.66666666666666,24.593333333333334,3.0,10.0
4122000000,경기도 평택시,565,33,1846,3567,3744,297,2233,1299,13584,15500.0,36.6175,4.0,333.3333333333333,59.833333333333336,33.37,6.0,10.0
4145000000,경기도 하남시,151,65,797,1070,1755,115,392,372,4717,22450.0,43.3325,4.0,1750.0,88.16666666666667,30.951666666666668,6.0,10.0
4125000000,경기도 동두천시,345,93,1249,2195,2022,212,1173,577,7866,9333.333333333334,67.29333333333334,3.0,928.5714285714286,46.71428571428572,44.63428571428572,7.0,10.0
4127000000,경기도 안산시,254,72,1131,1763,1900,225,1024,790,7159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4127100000,경기도 안산시 상록구,205,62,987,1404,1535,218,812,688,5911,18300.0,53.574,5.0,1200.0,54.0,35.774,5.0,10.0
4127300000,경기도 안산시 단원구,242,70,1191,1789,1845,228,1063,788,7216,0.0,0.0,0.0,450.0,44.1,23.065,10.0,10.0
4128000000,경기도 고양시,256,121,1635,2427,3580,639,944,724,10326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4128100000,경기도 고양시 덕양구,290,149,1887,2715,4080,645,1032,796,11594,31000.0,59.1525,4.0,3166.6666666666665,80.16666666666667,35.76166666666666,6.0,10.0
4128500000,경기도 고양시 일산동구,285,117,1829,2584,4101,652,995,828,11391,26066.6,56.662,5.0,1500.0,91.8,46.958,5.0,10.0
4128700000,경기도 고양시 일산서구,286,104,1620,2674,4081,641,969,748,11123,29316.666666666668,64.515,6.0,7750.0,51.25,47.400000000000006,4.0,10.0
4129000000,경기도 과천시,340,245,3233,4277,4826,354,1436,881,15592,55166.66666666666,79.01333333333334,3.0,7857.142857142857,106.0,34.401428571428575,7.0,10.0
4131000000,경기도 구리시,551,380,4637,5330,6988,837,2025,1304,22052,15125.0,32.2175,4.0,757.6666666666666,49.16666666666666,24.92,6.0,10.0
4136000000,경기도 남양주시,254,81,1187,1782,2616,270,780,431,7401,28700.0,53.04,5.0,1700.0,65.2,29.188,5.0,10.0
4137000000,경기도 오산시,1104,239,5245,9026,11993,898,4047,2723,35275,15125.0,40.075,4.0,916.6666666666666,49.0,21.25,6.0,10.0
4139000000,경기도 시흥시,296,87,1397,2040,2603,223,1114,711,8471,13766.666666666666,28.72,3.0,842.8571428571429,45.85714285714285,25.865714285714287,7.0,10.0
4141000000,경기도 군포시,102,32,552,774,940,19,312,315,3046,19794.0,34.684000000000005,5.0,2300.0,54.6,32.67,5.0,10.0
4143000000,경기도 의왕시,1995,1114,16581,20742,27091,4294,7925,5166,84908,7200.0,22.855,2.0,1987.5,42.0,25.1225,8.0,10.0
4146000000,경기도 용인시,369,106,1546,2703,4156,189,1138,597,10804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4146100000,경기도 용인시 처인구,160,49,492,1150,1173,28,580,248,3880,15700.0,33.82,1.0,1388.888888888889,51.44444444444444,22.112222222222226,9.0,10.0
4146300000,경기도 용인시 기흥구,351,151,2512,3517,5287,284,1225,863,14190,28333.33333333333,76.10333333333334,3.0,2542.8571428571427,68.85714285714286,34.568571428571424,7.0,10.0
4146500000,경기도 용인시 수지구,364,126,2632,3478,5820,964,1170,838,15392,25000.0,51.23,1.0,1273.7777777777778,61.333333333333336,22.19666666666667,9.0,10.0
4148000000,경기도 파주시,225,27,617,1514,1425,22,730,375,4935,0.0,0.0,0.0,950.0,55.9,25.189,10.0,10.0
4150000000,경기도 이천시,248,31,607,1445,1200,63,931,424,4949,11900.0,30.205,2.0,537.5,54.5,28.04125,8.0,10.0
4155000000,경기도 안성시,305,12,776,1651,1437,52,1009,430,5672,2500.0,15.0,1.0,305.55555555555554,34.666666666666664,18.725555555555555,9.0,10.0
4157000000,경기도 김포시,642,327,3642,5579,8002,906,2286,1753,23137,15400.0,32.504999999999995,2.0,512.5,47.875,25.79375,8.0,10.0
4159000000,경기도 화성시,870,172,3980,6729,8214,811,3392,2584,26752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4161000000,경기도 광주시,309,116,1871,2519,3006,131,1276,747,9975,0.0,0.0,0.0,1500.0,76.0,46.688,5.0,5.0
4163000000,경기도 양주시,782,359,3968,5580,6804,1022,2622,1397,22534,11833.333333333334,28.51,3.0,100.0,66.0,18.61,1.0,4.0
4165000000,경기도 포천시,296,51,818,1630,1575,64,901,454,5789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4167000000,경기도 여주시,106,7,172,463,272,16,261,155,1452,0.0,0.0,0.0,750.0,75.0,66.815,2.0,2.0
4180000000,경기도 연천군,71,17,76,281,97,6,144,73,765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4182000000,경기도 가평군,81,26,232,728,323,74,264,143,1871,0.0,0.0,0.0,1000.0,40.0,42.31,1.0,1.0
4183000000,경기도 양평군,148,27,296,983,370,21,361,320,2526,13000.0,76.59,1.0,753.3333333333334,58.44444444444444,54.47222222222222,9.0,10.0
4311100000,충청북도 청주시 상당구,231,0,1168,1848,2136,405,758,499,7045,9000.0,23.67,2.0,500.0,57.5,36.7525,4.0,6.0
4311000000,충청북도 청주시,308,0,1314,2256,2506,412,1002,705,8503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4311200000,충청북도 청주시 서원구,225,0,1168,1817,2135,406,765,476,6992,12000.0,54.70333333333334,3.0,1057.142857142857,33.57142857142857,39.99857142857143,7.0,10.0
4311300000,충청북도 청주시 흥덕구,234,0,1208,1904,2280,402,837,500,7365,12450.0,41.8375,4.0,2750.0,42.16666666666666,33.59166666666667,6.0,10.0
4311400000,충청북도 청주시 청원구,244,0,1236,1968,2331,408,865,616,7668,14500.0,47.07,1.0,888.8888888888889,55.0,41.05222222222222,9.0,10.0
4313000000,충청북도 충주시,158,0,270,639,454,32,291,200,2044,14500.0,60.30500000000001,2.0,1000.0,80.0,47.88,1.0,3.0
4315000000,충청북도 제천시,131,0,229,497,268,20,179,180,1504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
