dong_code,region_name,school,subway,hospital,cafe,total_score
2872037022,인천광역시 옹진군 자월면 이작리,2,0,0,3,7
2872037023,인천광역시 옹진군 자월면 승봉리,1,0,0,2,4
2872038000,인천광역시 옹진군 연평면,2,0,2,1,9
2872038021,인천광역시 옹진군 연평면 연평리,2,0,2,1,9
2911010100,광주광역시 동구 대인동,106,48,969,1332,3626
2911010200,광주광역시 동구 금남로5가,114,49,1018,1388,3799
2911010300,광주광역시 동구 충장로5가,117,49,1034,1377,3826
2911010400,광주광역시 동구 수기동,112,49,1049,1378,3847
2911010500,광주광역시 동구 대의동,108,43,890,1240,3365
2911010600,광주광역시 동구 궁동,5,41,897,1283,3210
2911010700,광주광역시 동구 장동,101,44,861,1167,3223
2911010800,광주광역시 동구 동명동,88,41,805,1167,3076
2911010900,광주광역시 동구 계림동,103,39,833,1212,3201
2911011000,광주광역시 동구 산수동,72,36,745,1063,2805
2911011100,광주광역시 동구 지산동,64,41,696,975,2618
2911011200,광주광역시 동구 남동,106,46,839,1172,3200
2911011300,광주광역시 동구 광산동,109,46,875,1207,3313
2911011400,광주광역시 동구 금동,104,46,869,5,2089
2911011500,광주광역시 동구 호남동,112,49,1017,1342,3747
2911011600,광주광역시 동구 불로동,113,50,897,1255,3425
2911011700,광주광역시 동구 황금동,117,46,907,1277,3463
2911011800,광주광역시 동구 서석동,73,36,682,994,2612
2911011900,광주광역시 동구 소태동,9,12,72,120,318
2911012000,광주광역시 동구 용연동,300,85,0,6,861
2911012100,광주광역시 동구 운림동,2,85,8,31,306
2911012200,광주광역시 동구 학동,72,36,731,1030,2744
2911012300,광주광역시 동구 월남동,4,7,17,36,99
2911012400,광주광역시 동구 선교동,3,85,2,12,277
2911012500,광주광역시 동구 내남동,3,2,2,14,30
2911012600,광주광역시 동구 용산동,40,19,505,433,1580
2911012700,광주광역시 동구 충장로1가,111,44,895,1260,3404
2911012800,광주광역시 동구 충장로2가,115,45,921,1287,3494
2911012900,광주광역시 동구 충장로3가,117,49,940,1319,3580
2911013000,광주광역시 동구 충장로4가,118,49,1029,1356,3797
2911013100,광주광역시 동구 금남로1가,107,44,896,1254,3392
2911013200,광주광역시 동구 금남로2가,110,42,918,1292,3474
2911013300,광주광역시 동구 금남로3가,113,44,930,1303,3521
2911013400,광주광역시 동구 금남로4가,115,49,936,1330,3579
2914010400,광주광역시 서구 양동,3,54,1023,1494,3708
2914010600,광주광역시 서구 농성동,109,49,768,1216,3117
2914011500,광주광역시 서구 광천동,95,40,675,921,2581
2914011600,광주광역시 서구 유촌동,58,29,522,625,1872
2914011700,광주광역시 서구 덕흥동,49,19,456,641,1708
2914011800,광주광역시 서구 쌍촌동,87,42,656,796,2408
2914011900,광주광역시 서구 화정동,107,40,801,902,2838
2914012000,광주광역시 서구 치평동,38,28,384,494,1422
2914012100,광주광역시 서구 내방동,96,40,746,879,2683
2914012500,광주광역시 서구 서창동,12,6,25,84,176
2914012600,광주광역시 서구 세하동,7,7,71,117,294
2914012700,광주광역시 서구 용두동,3,112,4,13,363
2914012800,광주광역시 서구 풍암동,97,112,508,636,2182
2914012900,광주광역시 서구 벽진동,27,21,223,272,835
2914013000,광주광역시 서구 금호동,69,29,507,680,1919
2914013100,광주광역시 서구 마륵동,44,29,412,552,1551
2914013200,광주광역시 서구 매월동,31,112,151,243,943
2914013300,광주광역시 서구 동천동,50,25,585,702,2047
2915510100,광주광역시 남구 사동,110,53,925,1241,3470
2915510200,광주광역시 남구 구동,113,49,1055,1349,3832
2915510300,광주광역시 남구 서동,5,54,1069,1342,3652
2915510400,광주광역시 남구 월산동,118,54,1061,1361,3881
2915510500,광주광역시 남구 백운동,114,55,987,1261,3628
2915510600,광주광역시 남구 주월동,112,28,749,849,2655
2915510700,광주광역시 남구 노대동,23,2,179,194,604
2915510800,광주광역시 남구 진월동,57,112,458,485,1851
2915510900,광주광역시 남구 덕남동,11,112,56,89,559
2915511000,광주광역시 남구 행암동,24,112,163,177,887
2915511100,광주광역시 남구 임암동,31,112,104,222,828
2915511200,광주광역시 남구 송하동,42,112,232,297,1181
2915511300,광주광역시 남구 양림동,102,46,913,1188,3356
2915511400,광주광역시 남구 방림동,91,46,804,1074,3002
2915511500,광주광역시 남구 봉선동,100,46,807,1076,3028
2915511600,광주광역시 남구 구소동,5,66,2,6,218
2915511700,광주광역시 남구 양촌동,1,59,0,2,181
2915511800,광주광역시 남구 도금동,1,112,4,18,364
2915511900,광주광역시 남구 승촌동,4,46,8,5,167
2915512000,광주광역시 남구 지석동,1,112,4,14,360
2915512100,광주광역시 남구 압촌동,4,112,4,36,388
2915512200,광주광역시 남구 화장동,1,76,0,2,232
2915512300,광주광역시 남구 칠석동,2,112,17,22,396
2915512400,광주광역시 남구 석정동,2,112,4,12,360
2915512500,광주광역시 남구 신장동,3,85,19,18,317
2915512600,광주광역시 남구 양과동,4,112,44,68,500
2915512700,광주광역시 남구 이장동,3,112,18,47,425
2915512800,광주광역시 남구 대지동,2,112,4,10,358
2915512900,광주광역시 남구 원산동,8,112,32,107,523
2915513000,광주광역시 남구 월성동,2,81,4,8,263
2917010100,광주광역시 북구 중흥동,109,44,952,1351,3605
2917010200,광주광역시 북구 유동,117,49,960,1451,3752
2917010300,광주광역시 북구 누문동,124,51,1020,1447,3888
2917010400,광주광역시 북구 북동,4,44,1013,1426,3592
2917010500,광주광역시 북구 임동,5,40,793,1195,2911
2917010600,광주광역시 북구 신안동,118,38,828,1249,3255
2917010700,광주광역시 북구 용봉동,88,7,650,840,2337
2917010800,광주광역시 북구 동림동,56,112,454,552,1908
