sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,culture,total_score,전세_평균보증금,전세_평균면적,전세_거래건수,월세_평균보증금,월세_평균월세,월세_평균면적,월세_거래건수,전체_거래건수
2915500000,광주광역시 남구,39,0,299,425,775,4,128,36,1706,17250.0,66.475,2.0,437.5,31.75,25.645,8.0,10.0
2917000000,광주광역시 북구,43,0,236,472,468,7,171,23,1420,15566.666666666666,65.40666666666667,3.0,2742.8571428571427,48.0,60.60857142857143,7.0,10.0
2920000000,광주광역시 광산구,13,4,71,109,120,2,53,6,378,19300.0,41.03333333333333,3.0,828.5714285714286,58.71428571428572,50.01857142857143,7.0,10.0
3011000000,대전광역시 동구,19,2,120,158,186,7,67,4,563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3014000000,대전광역시 중구,47,6,248,621,423,8,182,72,1607,0.0,0.0,0.0,2500.0,50.0,62.21,1.0,1.0
3017000000,대전광역시 서구,34,5,526,686,823,16,228,42,2360,0.0,0.0,0.0,1400.0,43.5,36.106,10.0,10.0
3020000000,대전광역시 유성구,29,4,188,453,294,12,170,24,1174,0.0,0.0,0.0,1810.0,44.2,33.796,10.0,10.0
3023000000,대전광역시 대덕구,41,0,134,363,336,7,155,14,1050,0.0,0.0,0.0,600.0,42.0,35.223333333333336,3.0,3.0
3111000000,울산광역시 중구,29,0,129,271,327,2,97,22,877,10600.0,31.75,2.0,675.0,48.375,26.75625,8.0,10.0
3114000000,울산광역시 남구,25,0,365,680,665,6,233,35,2009,16325.0,55.63,4.0,716.6666666666666,53.833333333333336,33.49,6.0,10.0
3117000000,울산광역시 동구,17,0,86,163,236,5,84,3,594,16500.0,55.76,2.0,3562.5,55.0,63.7275,8.0,10.0
3120000000,울산광역시 북구,13,0,29,118,176,6,54,7,403,8500.0,158.0,1.0,350.0,52.5,87.22,2.0,3.0
3171000000,울산광역시 울주군,2,0,0,7,0,0,1,1,11,7750.0,22.91,2.0,550.0,42.875,34.645,8.0,10.0
3611000000,세종특별자치시,13,0,53,152,339,10,35,4,606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4113000000,경기도 성남시,21,3,223,316,372,6,112,19,1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4111700000,경기도 수원시 영통구,36,3,410,625,797,18,255,25,2169,35904.28571428572,61.22857142857144,7.0,1000.0,95.0,32.06666666666667,3.0,10.0
4111000000,경기도 수원시,37,3,491,681,838,18,302,38,2408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4111100000,경기도 수원시 장안구,28,0,201,369,480,4,175,6,1263,31333.33333333333,84.65,6.0,9500.0,76.25,70.7775,4.0,10.0
4111300000,경기도 수원시 권선구,19,2,83,157,217,6,101,10,595,22000.0,71.27,1.0,1222.2222222222222,60.22222222222222,38.71222222222222,9.0,10.0
4111500000,경기도 수원시 팔달구,38,1,279,663,504,7,243,34,1769,15250.0,52.725,2.0,1375.0,51.5,29.80875,8.0,10.0
4113100000,경기도 성남시 수정구,42,8,460,418,477,9,249,13,1676,31185.0,47.2775,4.0,1666.6666666666667,93.83333333333331,29.01,6.0,10.0
4113300000,경기도 성남시 중원구,31,5,350,358,375,6,191,13,1329,15616.666666666666,27.83333333333333,3.0,1618.571428571429,58.142857142857146,23.18142857142857,7.0,10.0
4113500000,경기도 성남시 분당구,36,9,419,529,1203,16,158,15,2385,22740.0,25.714,5.0,3600.0,90.8,40.17,5.0,10.0
4115000000,경기도 의정부시,22,9,261,432,298,6,191,17,1236,21900.0,71.83,1.0,991.1111111111112,57.66666666666666,40.34777777777778,9.0,10.0
4117000000,경기도 안양시,40,3,445,643,1212,15,236,11,2605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4117100000,경기도 안양시 만안구,33,5,403,521,531,12,199,19,1723,16750.0,32.52,4.0,3250.0,54.5,26.85333333333333,6.0,10.0
4117300000,경기도 안양시 동안구,35,3,407,608,1178,15,246,17,2509,30040.4,58.848,5.0,3600.0,77.8,46.704,5.0,10.0
4119000000,경기도 부천시,50,5,484,727,1115,19,269,24,2693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4121000000,경기도 광명시,36,5,363,484,627,16,228,17,1776,16821.428571428572,33.39857142857143,7.0,833.3333333333334,63.66666666666666,24.593333333333334,3.0,10.0
4122000000,경기도 평택시,30,0,127,310,464,9,121,7,1068,15500.0,36.6175,4.0,333.3333333333333,59.833333333333336,33.37,6.0,10.0
4145000000,경기도 하남시,18,3,149,203,223,7,88,12,703,22450.0,43.3325,4.0,1750.0,88.16666666666667,30.951666666666668,6.0,10.0
4125000000,경기도 동두천시,18,3,83,129,103,2,83,8,429,9333.333333333334,67.29333333333334,3.0,928.5714285714286,46.71428571428572,44.63428571428572,7.0,10.0
4127000000,경기도 안산시,28,4,274,482,558,14,175,28,1563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4127100000,경기도 안산시 상록구,22,6,216,429,495,11,198,21,1398,18300.0,53.574,5.0,1200.0,54.0,35.774,5.0,10.0
4127300000,경기도 안산시 단원구,21,7,313,407,455,11,164,21,1399,0.0,0.0,0.0,450.0,44.1,23.065,10.0,10.0
4128000000,경기도 고양시,11,1,64,106,123,5,53,9,372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4128100000,경기도 고양시 덕양구,22,4,179,200,506,10,91,15,1027,31000.0,59.1525,4.0,3166.6666666666665,80.16666666666667,35.76166666666666,6.0,10.0
4128500000,경기도 고양시 일산동구,29,7,326,658,897,15,174,32,2138,26066.6,56.662,5.0,1500.0,91.8,46.958,5.0,10.0
