sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,culture,total_score
4167000000,경기도 여주시,7,1,66,120,101,4,64,9,372
4180000000,경기도 연천군,3,1,4,15,6,1,7,6,43
4182000000,경기도 가평군,3,1,20,52,40,3,23,5,147
4183000000,경기도 양평군,6,1,58,87,91,4,41,7,295
4311100000,충청북도 청주시 상당구,29,0,175,434,337,8,120,44,1147
4311000000,충청북도 청주시,29,0,171,425,253,5,115,47,1045
4311200000,충청북도 청주시 서원구,26,0,179,466,338,6,180,48,1243
4311300000,충청북도 청주시 흥덕구,2,0,5,23,13,2,9,2,56
4311400000,충청북도 청주시 청원구,25,0,148,400,220,4,128,44,969
4313000000,충청북도 충주시,17,0,86,175,197,5,76,10,566
4315000000,충청북도 제천시,8,0,90,107,114,4,40,7,370
4372000000,충청북도 보은군,7,0,22,41,31,1,16,5,123
4373000000,충청북도 옥천군,7,0,38,87,47,1,36,6,222
4374000000,충청북도 영동군,8,0,33,64,42,2,21,6,176
4374500000,충청북도 증평군,8,0,37,77,70,3,49,4,248
4375000000,충청북도 진천군,7,0,42,88,48,3,39,6,233
4376000000,충청북도 괴산군,4,0,14,23,20,1,20,6,88
4377000000,충청북도 음성군,7,0,20,41,23,1,20,4,116
4380000000,충청북도 단양군,4,0,10,57,21,2,14,10,118
4413000000,충청남도 천안시,23,0,186,379,871,9,151,9,1628
4413100000,충청남도 천안시 동남구,27,2,188,405,283,11,212,20,1148
4413300000,충청남도 천안시 서북구,2,1,15,26,34,3,23,1,105
4415000000,충청남도 공주시,16,0,51,120,34,2,27,24,274
4418000000,충청남도 보령시,5,0,24,73,82,3,35,4,226
4420000000,충청남도 아산시,20,1,127,198,165,6,111,10,638
4421000000,충청남도 서산시,12,0,124,204,222,9,102,8,681
4423000000,충청남도 논산시,17,0,34,130,115,4,61,10,371
4425000000,충청남도 계룡시,7,0,35,77,117,4,24,5,269
4427000000,충청남도 당진시,10,0,100,188,192,8,77,9,584
4471000000,충청남도 금산군,9,0,43,66,37,4,24,13,196
4476000000,충청남도 부여군,9,0,41,78,30,2,27,17,204
4477000000,충청남도 서천군,7,0,30,34,32,4,14,2,123
4479000000,충청남도 청양군,5,0,16,42,15,2,14,7,101
4480000000,충청남도 홍성군,9,0,68,113,95,4,49,11,349
4481000000,충청남도 예산군,8,0,49,76,63,3,34,5,238
4482500000,충청남도 태안군,6,0,37,71,45,4,32,5,200
4159500000,경기도 화성시 병점구,6,1,42,85,102,7,64,5,312
4159700000,경기도 화성시 동탄구,25,1,153,271,721,13,90,9,1283
4159300000,경기도 화성시 효행구,1,0,1,6,16,1,7,0,32
4611000000,전라남도 목포시,35,0,90,162,216,5,66,7,581
4613000000,전라남도 여수시,12,0,89,213,257,5,66,10,652
4615000000,전라남도 순천시,16,0,74,217,104,1,61,21,494
4617000000,전라남도 나주시,7,0,7,59,25,2,17,11,128
4623000000,전라남도 광양시,16,0,62,176,186,7,65,5,517
4671000000,전라남도 담양군,4,0,30,116,17,5,20,20,212
4672000000,전라남도 곡성군,4,0,8,38,17,2,8,6,83
4673000000,전라남도 구례군,6,0,17,57,25,2,11,5,123
4677000000,전라남도 고흥군,5,0,28,44,25,3,14,4,123
4678000000,전라남도 보성군,6,0,17,25,9,1,9,3,70
