region_name,전세_평균보증금,전세_평균면적,전세_거래건수,월세_평균보증금,월세_평균월세,월세_평균면적,월세_거래건수,전체_거래건수
경상북도 김천시,9766.666666666666,32.49666666666666,3.0,971.4285714285714,37.285714285714285,28.114285714285717,7.0,10.0
경상북도 문경시,19000.0,84.65,2.0,0.0,0.0,0.0,0.0,2.0
경상북도 상주시,19000.0,84.88,1.0,0.0,0.0,0.0,0.0,1.0
경상북도 안동시,0.0,0.0,0.0,350.0,39.2,26.871,10.0,10.0
경상북도 영주시,20000.0,71.96,1.0,0.0,0.0,0.0,0.0,1.0
경상북도 예천군,0.0,0.0,0.0,4000.0,25.0,24.56,1.0,1.0
경상북도 울진군,0.0,0.0,0.0,500.0,45.0,42.42,1.0,1.0
경상북도 청송군,7000.0,25.91,1.0,1833.3333333333333,43.666666666666664,32.99666666666666,3.0,4.0
경상북도 포항시 남구,10700.0,29.383333333333336,3.0,1785.7142857142858,51.42857142857143,32.79571428571428,7.0,10.0
경상북도 포항시 북구,10000.0,81.36,1.0,1425.0,45.75,47.612500000000004,4.0,5.0
광주광역시 광산구,19300.0,41.03333333333333,3.0,828.5714285714286,58.714285714285715,50.01857142857143,7.0,10.0
광주광역시 남구,17250.0,66.475,2.0,437.5,31.75,25.645,8.0,10.0
광주광역시 동구,11400.0,32.658,5.0,440.0,43.0,29.224,5.0,10.0
광주광역시 북구,15566.666666666666,65.40666666666667,3.0,2742.8571428571427,48.0,60.60857142857143,7.0,10.0
광주광역시 서구,13166.666666666666,37.083333333333336,3.0,757.1428571428571,59.285714285714285,36.81142857142857,7.0,10.0
대구광역시 군위군,0.0,0.0,0.0,3000.0,60.0,68.62,1.0,1.0
대구광역시 남구,13650.0,56.13,2.0,662.5,48.0,34.24875,8.0,10.0
대구광역시 달서구,12500.0,65.64500000000001,2.0,3350.0,59.125,55.2175,8.0,10.0
대구광역시 달성군,18000.0,84.81,1.0,2455.5555555555557,44.22222222222222,35.61,9.0,10.0
대구광역시 동구,19000.0,49.96,1.0,1638.888888888889,46.44444444444444,31.36333333333333,9.0,10.0
대구광역시 북구,7700.0,29.91,2.0,2400.0,42.0,38.5425,8.0,10.0
대구광역시 수성구,12950.0,51.595,2.0,3162.5,59.0,55.19875,8.0,10.0
대구광역시 중구,11580.0,41.622,5.0,1900.0,69.0,44.257999999999996,5.0,10.0
대전광역시 대덕구,0.0,0.0,0.0,600.0,42.0,35.223333333333336,3.0,3.0
대전광역시 서구,0.0,0.0,0.0,1400.0,43.5,36.106,10.0,10.0
대전광역시 유성구,0.0,0.0,0.0,1810.0,44.2,33.796,10.0,10.0
대전광역시 중구,0.0,0.0,0.0,2500.0,50.0,62.21,1.0,1.0
부산광역시 강서구,16850.0,51.1575,4.0,916.6666666666666,42.5,29.706666666666667,6.0,10.0
부산광역시 금정구,16000.0,69.15,1.0,2111.1111111111113,39.111111111111114,31.182222222222222,9.0,10.0
부산광역시 기장군,8500.0,43.885,2.0,587.5,40.875,26.28625,8.0,10.0
부산광역시 남구,12000.0,29.98,1.0,844.4444444444445,44.22222222222222,26.155555555555555,9.0,10.0
부산광역시 동구,13295.0,36.942499999999995,4.0,2865.1666666666665,44.166666666666664,34.45666666666667,6.0,10.0
부산광역시 동래구,19250.0,52.8925,4.0,1633.3333333333333,46.666666666666664,28.426666666666666,6.0,10.0
부산광역시 부산진구,8000.0,21.12,1.0,2222.222222222222,41.111111111111114,27.394444444444446,9.0,10.0
부산광역시 북구,6100.0,31.126666666666665,3.0,1285.7142857142858,44.42857142857143,32.49142857142857,7.0,10.0
부산광역시 사상구,7300.0,24.22,2.0,1425.0,39.625,21.91375,8.0,10.0
부산광역시 사하구,18666.666666666668,75.13,3.0,2257.1428571428573,25.714285714285715,23.72142857142857,7.0,10.0
부산광역시 서구,0.0,0.0,0.0,3334.0,31.4,24.8,10.0,10.0
부산광역시 수영구,10000.0,23.32,1.0,3500.0,43.111111111111114,28.989999999999995,9.0,10.0
부산광역시 연제구,0.0,0.0,0.0,1360.0,36.4,23.562,10.0,10.0
부산광역시 영도구,20000.0,58.44,1.0,777.7777777777778,42.22222222222222,25.757777777777775,9.0,10.0
부산광역시 중구,6000.0,21.14,1.0,4277.777777777777,30.0,25.474444444444444,9.0,10.0
부산광역시 해운대구,29150.0,88.62333333333333,3.0,785.7142857142857,54.857142857142854,33.87428571428571,7.0,10.0
서울특별시 강남구,24564.285714285714,31.884285714285713,7.0,1000.0,95.0,26.933333333333334,3.0,10.0
서울특별시 강동구,23236.666666666668,26.156666666666666,3.0,3812.8571428571427,48.714285714285715,21.205714285714286,7.0,10.0
서울특별시 강북구,0.0,0.0,0.0,1500.0,73.5,22.901,10.0,10.0
서울특별시 강서구,22735.5,28.816666666666666,6.0,6250.0,62.0,30.4725,4.0,10.0
서울특별시 관악구,10800.0,18.896666666666665,3.0,1542.857142857143,68.42857142857143,19.784285714285716,7.0,10.0
서울특별시 광진구,14000.0,25.07,1.0,4000.0,66.66666666666667,21.988888888888887,9.0,10.0
서울특별시 구로구,40833.333333333336,61.20666666666667,3.0,4714.285714285715,59.857142857142854,32.160000000000004,7.0,10.0
서울특별시 금천구,22750.0,31.9325,4.0,6041.666666666667,40.666666666666664,22.83,6.0,10.0
서울특별시 노원구,0.0,0.0,0.0,850.0,65.9,31.970999999999997,10.0,10.0
서울특별시 도봉구,15740.0,23.964,5.0,3600.0,60.4,29.483999999999998,5.0,10.0
